"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p300_scenarioB_run1",200,300,1,"SSL",0.00889785635980016,0.2,NA,NA,TRUE,5,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioB","p300_scenarioB_run1",200,300,1,"LASSO",NA,NA,0.155253647069104,NA,TRUE,NA,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run2",200,300,2,"SSL",0.0090644029211664,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run2",200,300,2,"LASSO",NA,NA,0.167255120437926,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioB","p300_scenarioB_run3",200,300,3,"SSL",0.012166470170089,0.2,NA,NA,TRUE,5,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run3",200,300,3,"LASSO",NA,NA,0.10999260240235,NA,TRUE,NA,3,6,289,2,1,2,147,0,0,0,73,2,2,4,69,0
"scenarioB","p300_scenarioB_run4",200,300,4,"SSL",0.0128918095392818,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run4",200,300,4,"LASSO",NA,NA,0.119369246671132,NA,TRUE,NA,3,6,289,2,1,0,149,0,0,0,73,2,2,6,67,0
"scenarioB","p300_scenarioB_run5",200,300,5,"SSL",0.00731621422050135,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run5",200,300,5,"LASSO",NA,NA,0.127334555621221,NA,TRUE,NA,3,1,294,2,1,0,149,0,0,0,73,2,2,1,72,0
"scenarioB","p300_scenarioB_run6",200,300,6,"SSL",0.00747350848261453,0.2,NA,NA,TRUE,5,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run6",200,300,6,"LASSO",NA,NA,0.089294437187099,NA,TRUE,NA,3,7,288,2,1,1,148,0,0,0,73,2,2,6,67,0
"scenarioB","p300_scenarioB_run7",200,300,7,"SSL",0.00478750565751121,0.2,NA,NA,TRUE,5,3,5,290,2,1,2,147,0,0,1,72,2,2,2,71,0
"scenarioB","p300_scenarioB_run7",200,300,7,"LASSO",NA,NA,0.138286257085201,NA,TRUE,NA,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run8",200,300,8,"SSL",0.00616166357567805,0.2,NA,NA,TRUE,5,5,13,282,0,1,11,138,0,2,1,72,0,2,1,72,0
"scenarioB","p300_scenarioB_run8",200,300,8,"LASSO",NA,NA,0.124710392277217,NA,TRUE,NA,3,1,294,2,1,1,148,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run9",200,300,9,"SSL",0.0121799361744875,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run9",200,300,9,"LASSO",NA,NA,0.11648232076191,NA,TRUE,NA,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run10",200,300,10,"SSL",0.000346720072025771,0.2,NA,NA,TRUE,5,3,4,291,2,1,4,145,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run10",200,300,10,"LASSO",NA,NA,0.0913616186258716,NA,TRUE,NA,4,4,291,1,1,4,145,0,1,0,73,1,2,0,73,0
"scenarioB","p300_scenarioB_run11",200,300,11,"SSL",0.00034077694245805,0.2,NA,NA,TRUE,5,3,29,266,2,1,21,128,0,0,2,71,2,2,6,67,0
"scenarioB","p300_scenarioB_run11",200,300,11,"LASSO",NA,NA,0.123330685907132,NA,TRUE,NA,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run12",200,300,12,"SSL",0.0128918095392818,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run12",200,300,12,"LASSO",NA,NA,0.120983150612776,NA,TRUE,NA,3,3,292,2,1,1,148,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run13",200,300,13,"SSL",0.00592231539080623,0.2,NA,NA,TRUE,5,5,13,282,0,1,7,142,0,2,3,70,0,2,3,70,0
"scenarioB","p300_scenarioB_run13",200,300,13,"LASSO",NA,NA,0.118451322121916,NA,TRUE,NA,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run14",200,300,14,"SSL",0.00188772579985981,0.2,NA,NA,TRUE,5,4,8,287,1,1,7,142,0,1,0,73,1,2,1,72,0
"scenarioB","p300_scenarioB_run14",200,300,14,"LASSO",NA,NA,0.138551143372683,NA,TRUE,NA,4,1,294,1,1,0,149,0,1,0,73,1,2,1,72,0
"scenarioB","p300_scenarioB_run15",200,300,15,"SSL",0.00871011305019646,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run15",200,300,15,"LASSO",NA,NA,0.141026649528536,NA,TRUE,NA,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run16",200,300,16,"SSL",0.000360126949964567,0.2,NA,NA,TRUE,5,3,8,287,2,1,6,143,0,0,2,71,2,2,0,73,0
"scenarioB","p300_scenarioB_run16",200,300,16,"LASSO",NA,NA,0.125473319065744,NA,TRUE,NA,3,4,291,2,1,2,147,0,0,2,71,2,2,0,73,0
"scenarioB","p300_scenarioB_run17",200,300,17,"SSL",0.00577549612922775,0.2,NA,NA,TRUE,5,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run17",200,300,17,"LASSO",NA,NA,0.125374388563598,NA,TRUE,NA,3,2,293,2,1,0,149,0,0,0,73,2,2,2,71,0
"scenarioB","p300_scenarioB_run18",200,300,18,"SSL",0.00320046485105765,0.2,NA,NA,TRUE,5,3,5,290,2,1,2,147,0,0,0,73,2,2,3,70,0
"scenarioB","p300_scenarioB_run18",200,300,18,"LASSO",NA,NA,0.123581662712664,NA,TRUE,NA,3,3,292,2,1,0,149,0,0,0,73,2,2,3,70,0
"scenarioB","p300_scenarioB_run19",200,300,19,"SSL",0.00713417592592017,0.2,NA,NA,TRUE,5,4,0,295,1,1,0,149,0,1,0,73,1,2,0,73,0
"scenarioB","p300_scenarioB_run19",200,300,19,"LASSO",NA,NA,0.122402678185126,NA,TRUE,NA,4,0,295,1,1,0,149,0,1,0,73,1,2,0,73,0
"scenarioB","p300_scenarioB_run20",200,300,20,"SSL",0.0125688951126899,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run20",200,300,20,"LASSO",NA,NA,0.125573045072492,NA,TRUE,NA,3,3,292,2,1,0,149,0,0,0,73,2,2,3,70,0
"scenarioB","p300_scenarioB_run21",200,300,21,"SSL",0.012166470170089,0.2,NA,NA,TRUE,5,2,1,294,3,1,0,149,0,0,0,73,2,1,1,72,1
"scenarioB","p300_scenarioB_run21",200,300,21,"LASSO",NA,NA,0.144069858647868,NA,TRUE,NA,2,2,293,3,1,0,149,0,0,0,73,2,1,2,71,1
"scenarioB","p300_scenarioB_run22",200,300,22,"SSL",0.0128918095392818,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
"scenarioB","p300_scenarioB_run22",200,300,22,"LASSO",NA,NA,0.0953785467546316,NA,TRUE,NA,3,3,292,2,1,1,148,0,0,1,72,2,2,1,72,0
"scenarioB","p300_scenarioB_run23",200,300,23,"SSL",0.000356184884701361,0.2,NA,NA,TRUE,5,4,5,290,1,1,3,146,0,1,0,73,1,2,2,71,0
"scenarioB","p300_scenarioB_run23",200,300,23,"LASSO",NA,NA,0.0950601351986481,NA,TRUE,NA,4,5,290,1,1,3,146,0,1,0,73,1,2,2,71,0
"scenarioB","p300_scenarioB_run24",200,300,24,"SSL",0.00936026405982982,0.2,NA,NA,TRUE,5,3,0,295,2,1,0,149,0,0,0,73,2,2,0,73,0
