"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p25_scenarioB_run16",200,25,16,"SSL",0.000426286230746624,0.6,NA,NA,TRUE,5,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run16",200,25,16,"LASSO",NA,NA,0.0592774695274278,NA,TRUE,NA,4,1,19,1,1,0,12,0,1,1,3,1,2,0,4,0
"scenarioB","p25_scenarioB_run17",200,25,17,"SSL",0.0124240559269188,0.2,NA,NA,TRUE,5,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run17",200,25,17,"LASSO",NA,NA,0.0767699499173665,NA,TRUE,NA,4,2,18,1,1,1,11,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run18",200,25,18,"SSL",0.0124240559269188,0.2,NA,NA,TRUE,5,4,3,17,1,1,2,10,0,1,1,3,1,2,0,4,0
"scenarioB","p25_scenarioB_run18",200,25,18,"LASSO",NA,NA,0.0791299577023731,NA,TRUE,NA,3,2,18,2,1,2,10,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run19",200,25,19,"SSL",0.0110269846067861,0.2,NA,NA,TRUE,5,5,0,20,0,1,0,12,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run19",200,25,19,"LASSO",NA,NA,0.059784358629525,NA,TRUE,NA,5,2,18,0,1,1,11,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run20",200,25,20,"SSL",0.00842479936152805,0.2,NA,NA,TRUE,5,5,2,18,0,1,2,10,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run20",200,25,20,"LASSO",NA,NA,0.0846543021677599,NA,TRUE,NA,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run21",200,25,21,"SSL",0.000426286230746624,0.6,NA,NA,TRUE,5,5,14,6,0,1,9,3,0,2,2,2,0,2,3,1,0
"scenarioB","p25_scenarioB_run21",200,25,21,"LASSO",NA,NA,0.0752840354382985,NA,TRUE,NA,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run22",200,25,22,"SSL",0.000415384942842734,1,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run22",200,25,22,"LASSO",NA,NA,0.101985688971986,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run23",200,25,23,"SSL",0.0138711888917995,0.2,NA,NA,TRUE,5,5,2,18,0,1,1,11,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run23",200,25,23,"LASSO",NA,NA,0.089593303511021,NA,TRUE,NA,3,1,19,2,1,1,11,0,0,0,4,2,2,0,4,0
