"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioA","p25_scenarioA_run1",200,25,1,"SSL",0.0131455377967901,0.2,NA,NA,TRUE,5,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioA","p25_scenarioA_run1",200,25,1,"LASSO",NA,NA,0.0681228790946068,NA,TRUE,NA,4,2,18,1,1,1,11,0,1,0,4,1,2,1,3,0
"scenarioA","p25_scenarioA_run2",200,25,2,"SSL",0.0152640909867941,0.6,NA,NA,TRUE,5,4,1,19,1,1,0,12,0,1,1,3,1,2,0,4,0
"scenarioA","p25_scenarioA_run2",200,25,2,"LASSO",NA,NA,0.0380719708136321,NA,TRUE,NA,4,5,15,1,1,4,8,0,1,1,3,1,2,0,4,0
"scenarioA","p25_scenarioA_run3",200,25,3,"SSL",0.00715626258546458,0.2,NA,NA,TRUE,5,5,4,16,0,1,2,10,0,2,1,3,0,2,1,3,0
"scenarioA","p25_scenarioA_run3",200,25,3,"LASSO",NA,NA,0.0759143852242691,NA,TRUE,NA,3,2,18,2,1,0,12,0,0,0,4,2,2,2,2,0
"scenarioA","p25_scenarioA_run4",200,25,4,"SSL",0.00979507951676928,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioA","p25_scenarioA_run4",200,25,4,"LASSO",NA,NA,0.0755174618770799,NA,TRUE,NA,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioA","p25_scenarioA_run5",200,25,5,"SSL",0.000434218656766025,1.4,NA,NA,TRUE,5,5,4,16,0,1,2,10,0,2,1,3,0,2,1,3,0
"scenarioA","p25_scenarioA_run5",200,25,5,"LASSO",NA,NA,0.0405392741910712,NA,TRUE,NA,5,5,15,0,1,3,9,0,2,1,3,0,2,1,3,0
"scenarioA","p25_scenarioA_run6",200,25,6,"SSL",0.000415384942842734,1,NA,NA,TRUE,5,5,9,11,0,1,5,7,0,2,1,3,0,2,3,1,0
"scenarioA","p25_scenarioA_run6",200,25,6,"LASSO",NA,NA,0.0939248950061111,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioA","p25_scenarioA_run7",200,25,7,"SSL",0.0131455377967901,0.2,NA,NA,TRUE,8,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
